"","Effective date","S&P MidCap 400 Dividend Aristocrats","S&P High Yield Dividend Aristocrats Index","S&P 500 High Dividend Index","S&P 500 Enhanced Value Index","S&P MidCap 400 Enhanced Value Index (USD)","S&P SmallCap 600 Enhanced Value Index (USD)","S&P 500 EQUAL WEIGHTED","S&P MidCap 400 Equal Weighted Index","S&P SmallCap 600 Equal Weighted Index","S&P MidCap 400 Low Volatility Index","S&P SmallCap 600 Low Volatility Index","S&P 500 Low Volatility Index","S&P 500 Quality (US Dollar)","S&P SmallCap 600 Quality","S&P MidCap 400 Quality Index (USD)","S&P 500 Momentum Index (US Dollar)","S&P MidCap 400 Momentum Index (USD)","S&P SmallCap 600 Momentum Index (USD)","S&P 500","S&P 400","S&P 600"
"1",2012-03-01,0.00572125304820859,0.00197933620694804,0.00164793037867557,0.0122048974736896,0.00808675910463993,0.0031232031780879,0.00625909752547312,0.00696259802935863,0.00470394435801215,0.00311843108267299,0.000942555525089231,0.00252630377018721,0.00539513211942858,0.0093901166650858,0.0112878839942273,0.00645434844059175,0.0128052495898759,0.0113003636662489,0.00615810438755774,0.0080625358107555,0.00587557092811856
"2",2012-03-02,-0.00834654481022112,-0.0032368428881683,-0.00181172926949297,-0.00429173585387663,-0.0103298094103632,-0.0188762815418887,-0.00513043058971015,-0.00997229225431218,-0.0188916417692924,-0.00624050108230088,-0.0127895628948585,-0.000313212588298809,-0.00282029392036103,-0.017185574975464,-0.00979426105570749,-0.00280859429855355,-0.00711766829259268,-0.0146075861928851,-0.00324578448282122,-0.00831269538386591,-0.0163995856018692
"3",2012-03-05,0.00150467861005324,0.00212510670304018,3.73460409462219e-05,-0.00682453754778451,-0.00349801591033046,-0.00347876888759063,-0.00595174626561858,-0.00365593837852827,0.00142976511001782,0.00516741976595982,0.00754422476586893,0.00262991120489333,-0.00322575713564999,0.000807376875026549,-0.00323413600528441,-0.0028399755902924,-0.00671190991125368,-0.000845325965939483,-0.00386965822886486,-0.00369479555805732,0.002196176859467
"4",2012-03-06,-0.0154467345884784,-0.0138434687300821,-0.0112930210325047,-0.0240241791738783,-0.0263649574423916,-0.0223711559985077,-0.0181279193361223,-0.0194981843027597,-0.019876881999555,-0.0109502512794504,-0.0127721834925554,-0.00770805960962549,-0.0129601226993866,-0.019127887228261,-0.018202630129441,-0.013887254325056,-0.0193614385464373,-0.0208002311136791,-0.0153701817009082,-0.019086949375411,-0.0194763086693052
"5",2012-03-07,0.00748688602765866,0.00394435618804852,0.00194143953586742,0.0114343188375109,0.0123958131420818,0.0104261785670478,0.00819346509087298,0.00975584576472418,0.0113885735906167,0.00522108011094797,0.00699178770073055,0.00264815976753439,0.00682153678812851,0.00848429755643576,0.00984422802142414,0.00654015992361859,0.00870905071347214,0.00948306745621984,0.00690060743211069,0.00959302934461593,0.00980615735461804
"6",2012-03-08,0.0106972120982628,0.00687700805025093,0.00615985463647816,0.0148640515007982,0.0123876353401814,0.0137311500175348,0.012249421267793,0.0128309988753706,0.0120646440462385,0.007605444385188,0.00540222322263394,0.00601043617302257,0.00926011667747014,0.0132524949028866,0.0132204861111111,0.0101022077829685,0.0140513667112591,0.0110222741790703,0.00981791029328048,0.0121885438061451,0.0116531165311652
"7",2012-03-09,0.00913220624736566,0.00528834949715858,0.00537529661546147,0.0063690982697712,0.0108743959982223,0.0136915216349993,0.00632064500746886,0.0115959218694797,0.0146561443066515,0.00833045679438501,0.0113319326283885,0.00379143556569963,0.00388414839281886,0.0144135557320625,0.0108718932858135,0.00197206244864428,0.00329341317365268,0.011129235407074,0.00363127878117871,0.00926447830943764,0.0127913206536298
"8",2012-03-12,0.00051048821236316,0.005593399669508,0.00551550054409663,-0.00525263913088028,-0.00582771297344323,0.000538163680514495,-0.00255782918149464,-0.00464008182509888,-0.000655737704918058,0.00189424196088273,-0.000255432191267586,0.00549719838453547,-0.000517913721667121,-0.00251602530641218,-0.00424605057970031,0.000820075446941039,-0.00896187705162629,0.00159281192566884,0.000160482029660017,-0.00416323960967081,-0.000925742246908717
"9",2012-03-13,0.015909828841783,0.0127973991428994,0.0116944470525448,0.0284367514102464,0.0237109522017313,0.0238107732269829,0.0188038994216795,0.0208774546046943,0.0234944590259551,0.0137129840546697,0.0139671941269651,0.00550698215034764,0.0142957295699089,0.0196347270919462,0.0188780417223446,0.0148663201760547,0.0176153419088933,0.0178600554558799,0.0181315595621003,0.01956745623069,0.0211353056677037
"10",2012-03-14,-0.0111861930417314,-0.0059355667094666,-0.00727308251211982,-0.00510932451724388,-0.00597426470588235,-0.007239784215989,-0.00335924935527152,-0.00703369545203464,-0.0080494363613698,-0.00788728596467573,-0.00824808076735703,-0.0054908047664661,-0.000796369755980245,-0.00890978331160639,-0.00778554661721336,0.00154559505409586,-0.00916379238600749,-0.00981491867638818,-0.00119631791969632,-0.00731073107310726,-0.00864210867451658
"11",2012-03-15,0.00618737590617354,0.00427423190056538,0.00287347131572016,0.0135437907509503,0.0130929264909848,0.0133202540141464,0.00878926764059978,0.0111753943529645,0.0101254914633489,0.00475640415845626,0.00443781970933976,0.000745210615736198,0.00451134603527873,0.00952844551697,0.00573343324044213,0.00271789202137449,0.00431163207406312,0.00766678804061986,0.00596723757064574,0.00912763578113818,0.00969815843957718
